country,continent,year,lifeExp,pop,gdpPercap
Albania,Europe,1992,71.581,3326498,2497.437901
Albania,Europe,1997,72.95,3428038,3193.054604
Austria,Europe,1992,76.04,7914969,27042.01868
Austria,Europe,1997,77.51,8069876,29095.92066
Belgium,Europe,1992,76.46,10045622,25575.57069
Belgium,Europe,1997,77.53,10199787,27561.19663
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904
Bulgaria,Europe,1992,71.19,8658506,6302.623438
Bulgaria,Europe,1997,70.32,8066057,5970.38876
Croatia,Europe,1992,72.527,4494013,8447.794873
Croatia,Europe,1997,73.68,4444595,9875.604515
Czech Republic,Europe,1992,72.4,10315702,14297.02122
Czech Republic,Europe,1997,74.01,10300707,16048.51424
Denmark,Europe,1992,75.33,5171393,26406.73985
Denmark,Europe,1997,76.11,5283663,29804.34567
Finland,Europe,1992,75.7,5041039,20647.16499
Finland,Europe,1997,77.13,5134406,23723.9502
France,Europe,1992,77.46,57374179,24703.79615
France,Europe,1997,78.64,58623428,25889.78487
Germany,Europe,1992,76.07,80597764,26505.30317
Germany,Europe,1997,77.34,82011073,27788.88416
Greece,Europe,1992,77.03,10325429,17541.49634
Greece,Europe,1997,77.869,10502372,18747.69814
Hungary,Europe,1992,69.17,10348684,10535.62855
Hungary,Europe,1997,71.04,10244684,11712.7768
Iceland,Europe,1992,78.77,259012,25144.39201
Iceland,Europe,1997,78.95,271192,28061.09966
Ireland,Europe,1992,75.467,3557761,17558.81555
Ireland,Europe,1997,76.122,3667233,24521.94713
Italy,Europe,1992,77.44,56840847,22013.64486
Italy,Europe,1997,78.82,57479469,24675.02446
Montenegro,Europe,1992,75.435,621621,7003.339037
Montenegro,Europe,1997,75.445,692651,6465.613349
Netherlands,Europe,1992,77.42,15174244,26790.94961
Netherlands,Europe,1997,78.03,15604464,30246.13063
Norway,Europe,1992,77.32,4286357,33965.66115
Norway,Europe,1997,78.32,4405672,41283.16433
Poland,Europe,1992,70.99,38370697,7738.881247
Poland,Europe,1997,72.75,38654957,10159.58368
Portugal,Europe,1992,74.86,9927680,16207.26663
Portugal,Europe,1997,75.97,10156415,17641.03156
Romania,Europe,1992,69.36,22797027,6598.409903
Romania,Europe,1997,69.72,22562458,7346.547557
Serbia,Europe,1992,71.659,9826397,9325.068238
Serbia,Europe,1997,72.232,10336594,7914.320304
Slovak Republic,Europe,1992,71.38,5302888,9498.467723
Slovak Republic,Europe,1997,72.71,5383010,12126.23065
Slovenia,Europe,1992,73.64,1999210,14214.71681
Slovenia,Europe,1997,75.13,2011612,17161.10735
Spain,Europe,1992,77.57,39549438,18603.06452
Spain,Europe,1997,78.77,39855442,20445.29896
Sweden,Europe,1992,78.16,8718867,23880.01683
Sweden,Europe,1997,79.39,8897619,25266.59499
Switzerland,Europe,1992,78.03,6995447,31871.5303
Switzerland,Europe,1997,79.37,7193761,32135.32301
Turkey,Europe,1992,66.146,58179144,5678.348271
Turkey,Europe,1997,68.835,63047647,6601.429915
United Kingdom,Europe,1992,76.42,57866349,22705.09254
United Kingdom,Europe,1997,77.218,58808266,26074.53136
